house_format,house_type,house_size,location,city,price,numBathrooms,SecurityDeposit,Status
5 BHK,Independent House,5000,Wadgaon Sheri,Pune,110000,5,0,Unfurnished
5 BHK,Independent House,5000,Wadgaon Sheri,Pune,110000,5,0,Unfurnished
5 BHK,Independent House,5000,Wadgaon Sheri,Pune,110000,5,0,Unfurnished
5 BHK,Independent House,5000,Wadgaon Sheri,Pune,110000,5,0,Unfurnished
5 BHK,Independent House,5000,Wadgaon Sheri,Pune,110000,5,0,Unfurnished
5 BHK,Independent House,5000,Wadgaon Sheri,Pune,110000,5,0,Unfurnished
5 BHK,Independent House,5000,Wadgaon Sheri,Pune,110000,5,0,Unfurnished
5 BHK,Independent House,5000,Wadgaon Sheri,Pune,110000,5,0,Unfurnished
5 BHK,Independent House,5000,Wadgaon Sheri,Pune,110000,5,0,Unfurnished
5 BHK,Independent House,5000,Wadgaon Sheri,Pune,110000,5,0,Unfurnished
1 BHK,Apartment ,600,Aundh,Pune,20000,1,0,Semi-Furnished
2 BHK,Apartment ,1000,Wadgaon Sheri,Pune,24000,2,0,Semi-Furnished
1 BHK,Apartment ,650,Wadgaon Sheri,Pune,20000,1,0,Semi-Furnished
4 BHK,Apartment ,1800,Aundh,Pune,80000,4,0,Furnished
3 BHK,Apartment ,1560,Pashan,Pune,50000,3,0,Furnished
2 BHK,Apartment ,1100,Aundh,Pune,30000,2,0,Semi-Furnished
1 BHK,Apartment ,650,Aundh,Pune,20000,1,0,Semi-Furnished
4 BHK,Apartment ,2300,Kondhwa,Pune,50000,4,0,Unfurnished
3 BHK,Apartment ,1500,Tathawade,Pune,29000,2,0,Unfurnished
2 BHK,Apartment ,1100,Aundh,Pune,30000,2,0,Furnished
2 BHK,Apartment ,960,Aundh,Pune,25000,1,0,Furnished
3 BHK,Apartment ,1600,Aundh,Pune,38000,3,0,Semi-Furnished
3 BHK,Apartment ,1490,Aundh,Pune,35000,3,0,Semi-Furnished
1 BHK,Apartment ,600,Aundh,Pune,19000,1,0,Semi-Furnished
2 BHK,Apartment ,965,Dhanori,Pune,22400,2,0,Semi-Furnished
2 BHK,Apartment ,952,Dhanori,Pune,19600,2,0,Semi-Furnished
2 BHK,Apartment ,1080,Dhanori,Pune,20800,2,0,Semi-Furnished
2 BHK,Apartment ,982,Dhanori,Pune,18500,2,0,Semi-Furnished
3 BHK,Apartment ,1320,Lohegaon,Pune,29000,3,0,Furnished
2 BHK,Apartment ,925,Dhanori,Pune,19000,2,0,Semi-Furnished
2 BHK,Apartment ,952,Dhanori,Pune,21000,2,0,Semi-Furnished
2 BHK,Apartment ,950,Lohegaon,Pune,20000,2,0,Semi-Furnished
2 BHK,Apartment ,952,Dhanori,Pune,21000,2,0,Semi-Furnished
2 BHK,Apartment ,885,Dhanori,Pune,18800,2,0,Semi-Furnished
2 BHK,Apartment ,935,Dhanori,Pune,19400,2,0,Semi-Furnished
2 BHK,Apartment ,1030,Lohegaon,Pune,21000,2,0,Semi-Furnished
2 BHK,Apartment ,952,Lohegaon,Pune,20700,2,0,Semi-Furnished
2 BHK,Apartment ,960,Lohegaon,Pune,19100,2,0,Semi-Furnished
3 BHK,Apartment ,1225,Lohegaon,Pune,23000,3,0,Semi-Furnished
2 BHK,Apartment ,915,Lohegaon,Pune,19000,2,0,Semi-Furnished
2 BHK,Apartment ,880,Dhanori,Pune,18000,2,0,Semi-Furnished
2 BHK,Apartment ,915,Lohegaon,Pune,19000,2,0,Semi-Furnished
2 BHK,Apartment ,952,Lohegaon,Pune,19100,2,0,Semi-Furnished
2 BHK,Apartment ,815,Lohegaon,Pune,19000,2,0,Semi-Furnished
2 BHK,Apartment ,905,Lohegaon,Pune,19000,2,0,Semi-Furnished
2 BHK,Apartment ,905,Lohegaon,Pune,19000,2,0,Semi-Furnished
2 BHK,Apartment ,904,Dhanori,Pune,19600,2,0,Semi-Furnished
2 BHK,Apartment ,868,Lohegaon,Pune,18700,2,0,Semi-Furnished
2 BHK,Apartment ,915,Dhanori,Pune,18600,2,0,Semi-Furnished
2 BHK,Apartment ,1002,Lohegaon,Pune,19600,2,0,Semi-Furnished
2 BHK,Apartment ,1002,Lohegaon,Pune,19600,2,0,Semi-Furnished
2 BHK,Apartment ,942,Dhanori,Pune,21000,2,0,Semi-Furnished
2 BHK,Apartment ,915,Dhanori,Pune,20000,2,0,Semi-Furnished
2 BHK,Apartment ,925,Dhanori,Pune,22000,2,0,Semi-Furnished
3 BHK,Apartment ,1220,Dhanori,Pune,24500,3,0,Semi-Furnished
2 BHK,Apartment ,905,Dhanori,Pune,20000,2,0,Semi-Furnished
3 BHK,Apartment ,1050,Dhanori,Pune,20800,2,0,Semi-Furnished
3 BHK,Apartment ,1180,Dhanori,Pune,22000,3,0,Semi-Furnished
2 BHK,Apartment ,1005,Lohegaon,Pune,19900,2,0,Semi-Furnished
1 BHK,Apartment ,650,Wadgaon Sheri,Pune,20000,1,0,Semi-Furnished
1 BHK,Apartment ,750,Mahalunge,Pune,27000,1,0,Furnished
2 BHK,Apartment ,1100,Tathawade,Pune,24000,2,0,Unfurnished
3 BHK,Apartment ,1680,Aundh,Pune,75000,3,0,Furnished
3 BHK,Apartment ,1450,Pashan,Pune,40000,3,0,Semi-Furnished
3 BHK,Apartment ,1350,Tathawade,Pune,45000,2,0,Furnished
2 BHK,Apartment ,1000,Dhayari,Pune,26000,2,0,Unfurnished
3 BHK,Apartment ,1250,Tathawade,Pune,35000,3,0,Semi-Furnished
2 BHK,Apartment ,900,Lohegaon,Pune,23000,2,0,Semi-Furnished
3 BHK,Apartment ,1460,Tathawade,Pune,30000,2,0,Semi-Furnished
3 BHK,Apartment ,1460,Tathawade,Pune,29000,2,0,Semi-Furnished
1 BHK,Apartment ,475,Hinjewadi,Pune,24000,1,0,Semi-Furnished
2 BHK,Apartment ,750,Hinjewadi,Pune,30000,2,0,Furnished
2 BHK,Apartment ,1100,Tathawade,Pune,20500,2,0,Semi-Furnished
2 BHK,Apartment ,1024,Wakad,Pune,30000,2,0,Semi-Furnished
2 BHK,Apartment ,1255,Wakad,Pune,29000,2,0,Semi-Furnished
3 BHK,Apartment ,1500,Tathawade,Pune,30000,2,0,Semi-Furnished
2 BHK,Apartment ,1200,Tathawade,Pune,22000,2,0,Semi-Furnished
1 BHK,Apartment ,800,Tathawade,Pune,16000,2,0,Semi-Furnished
2 BHK,Apartment ,1200,Tathawade,Pune,18500,2,0,Semi-Furnished
2 BHK,Apartment ,980,Hinjewadi,Pune,33000,2,0,Furnished
2 BHK,Apartment ,1046,Hinjewadi,Pune,42000,2,0,Furnished
1 BHK,Apartment ,550,Hinjewadi,Pune,18500,1,0,Semi-Furnished
2 BHK,Apartment ,1000,Viman Nagar,Pune,40000,2,0,Furnished
1 BHK,Apartment ,1024,Hinjewadi,Pune,29500,2,0,Furnished
2 BHK,Apartment ,950,Kharadi,Pune,28000,2,0,Semi-Furnished
1 BHK,Apartment ,504,Hinjewadi,Pune,22000,1,0,Furnished
3 BHK,Apartment ,1500,Pimple Nilakh,Pune,85000,3,0,Furnished
2 BHK,Apartment ,1100,Pimple Nilakh,Pune,30000,2,0,Furnished
3 BHK,Apartment ,1200,Hinjawadi Village,Pune,28000,3,0,Unfurnished
2 BHK,Apartment ,1100,Pimple Saudagar,Pune,35000,2,0,Furnished
2 BHK,Apartment ,1000,Wakad,Pune,30000,2,0,Furnished
2 BHK,Apartment ,1000,Tathawade,Pune,24000,2,0,Unfurnished
2 BHK,Apartment ,1000,Viman Nagar,Pune,40000,2,0,Furnished
2 BHK,Apartment ,1000,Viman Nagar,Pune,50000,2,0,Furnished
2 BHK,Apartment ,780,Hinjewadi,Pune,38000,2,0,Furnished
2 BHK,Apartment ,1050,Hinjewadi,Pune,30000,2,0,Unfurnished
2 BHK,Apartment ,1000,Hinjewadi,Pune,36000,2,0,Furnished
2 BHK,Apartment ,1000,Tathawade,Pune,23000,2,0,Semi-Furnished
4 BHK,Apartment ,2400,Tathawade,Pune,51000,5,0,Unfurnished
1 BHK,Apartment ,620,Bibwewadi,Pune,25000,1,0,Furnished
2 BHK,Apartment ,900,Viman Nagar,Pune,40000,2,0,Furnished
2 BHK,Apartment ,1000,Dhanori,Pune,24000,2,0,Semi-Furnished
2 BHK,Apartment ,900,Viman Nagar,Pune,50000,2,0,Furnished
1 BHK,Apartment ,600,Viman Nagar,Pune,31000,1,0,Furnished
1 BHK,Apartment ,450,Hinjewadi,Pune,26000,1,0,Furnished
1 BHK,Apartment ,600,Bibwewadi,Pune,16000,1,0,Unfurnished
3 BHK,Apartment ,1600,Bibwewadi,Pune,40000,3,0,Unfurnished
1 BHK,Apartment ,650,Viman Nagar,Pune,27000,1,0,Furnished
2 BHK,Apartment ,800,Dhanori,Pune,23000,2,0,Furnished
2 BHK,Apartment ,1300,Aundh,Pune,33000,2,0,Semi-Furnished
1 BHK,Apartment ,500,Viman Nagar,Pune,21000,1,0,Unfurnished
2 BHK,Apartment ,900,Viman Nagar,Pune,42000,2,0,Furnished
1 RK,Studio Apartment,350,Karve Nagar,Pune,11000,1,0,Unfurnished
2 BHK,Apartment ,1100,Aundh,Pune,24200,2,0,Semi-Furnished
3 BHK,Apartment ,1600,Aundh,Pune,33600,3,0,Semi-Furnished
2 BHK,Apartment ,1000,Baner,Pune,30000,2,0,Semi-Furnished
3 BHK,Apartment ,1300,Pashan,Pune,45000,3,0,Furnished
2 BHK,Apartment ,1200,Aundh,Pune,35000,2,0,Furnished
1 BHK,Apartment ,800,Aundh,Pune,18000,1,0,Furnished
